# TOTAL_GENES = 11758
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
x1           COVAR   11758     0.015714     0.019752     0.037651      0.33821
x2           COVAR   11758     -0.11407     -0.15098     0.033365      0.99968
x3           COVAR   11758     0.010955     0.013352     0.040228      0.39269
x4           COVAR   11758     0.058071     0.072122     0.034851     0.047845
x5           COVAR   11758     0.017438      0.02341     0.025455      0.24666
x6           COVAR   11758    -0.036919    -0.045823     0.044625      0.79596
x7           COVAR   11758   -0.0067423   -0.0087883     0.031113      0.58578
x8           COVAR   11758     0.019479     0.024477     0.037897      0.30363
x9           COVAR   11758   0.00034321   0.00043961     0.036052       0.4962
x10          COVAR   11758    0.0029349    0.0036148     0.041877      0.47206
x11          COVAR   11758    -0.069256     -0.08938     0.036399      0.97145
x12          COVAR   11758    -0.049952    -0.061718     0.041656      0.88475
x13          COVAR   11758    -0.045812    -0.057679      0.03897      0.88011
x14          COVAR   11758    -0.029466    -0.038198     0.036012      0.79338
x15          COVAR   11758   -0.0077246   -0.0097296     0.032802      0.59309
x16          COVAR   11758     0.041097     0.054372     0.026761     0.062321
x17          COVAR   11758      0.13604      0.16102      0.04131   0.00049682
x18          COVAR   11758     0.012594     0.015641     0.031931      0.34665
x19          COVAR   11758      0.01032     0.013213     0.037623      0.39193
x20          COVAR   11758     0.056435     0.071102     0.036443     0.060752
x21          COVAR   11758     0.039611     0.048312     0.045348       0.1912
x22          COVAR   11758      -0.1074     -0.13716     0.039375      0.99681
x23          COVAR   11758   -0.0095115    -0.011849     0.038548      0.59745
x24          COVAR   11758  -6.3394e-05  -7.9055e-05     0.036833      0.50069
x25          COVAR   11758     0.017853     0.022328     0.038623      0.32197
x26          COVAR   11758    -0.036636    -0.045109     0.049785      0.76909
x27          COVAR   11758     0.033289     0.043357     0.034859      0.16981
x28          COVAR   11758    -0.031716    -0.038447      0.04452      0.76188
x29          COVAR   11758   -0.0040301   -0.0051158     0.037513      0.54278
x30          COVAR   11758     0.038913     0.047333     0.043117       0.1834
x31          COVAR   11758    -0.051051    -0.063332      0.04349      0.87976
x32          COVAR   11758     0.063315     0.080279     0.033798     0.030523
x33          COVAR   11758     0.029823     0.037044     0.032841      0.18193
x34          COVAR   11758    -0.036516    -0.045574     0.043249      0.80074
x35          COVAR   11758     0.049278     0.060044     0.038635      0.10108
x36          COVAR   11758     0.045383     0.056686     0.039444      0.12497
x37          COVAR   11758    -0.012845    -0.016322     0.038308       0.6313
x38          COVAR   11758     -0.12332     -0.15166     0.049172      0.99392
x39          COVAR   11758     0.014005      0.01788     0.035942       0.3484
x40          COVAR   11758   -0.0027679   -0.0034292     0.040142      0.52749
x41          COVAR   11758     0.012486     0.016001     0.037461      0.36945
x42          COVAR   11758     0.057891     0.075002     0.032484     0.037379
x43          COVAR   11758   -0.0032601   -0.0042319     0.035939      0.53614
x44          COVAR   11758     0.038192     0.047431     0.041806      0.18048
x45          COVAR   11758      0.04883     0.061602     0.033791     0.074231
x46          COVAR   11758    -0.091924     -0.11627      0.03726      0.99318
x47          COVAR   11758     0.030585     0.038884     0.032807      0.17561
x48          COVAR   11758    -0.032818    -0.041032     0.041215      0.78705
x49          COVAR   11758    -0.031425    -0.039529     0.038854      0.79067
x50          COVAR   11758    -0.066805    -0.085048     0.037094      0.96413
x51          COVAR   11758      0.10193      0.13068     0.033598    0.0012102
x52          COVAR   11758      0.04838     0.061204     0.034508     0.080475
x53          COVAR   11758      0.06618      0.08147     0.044295     0.067593
x54          COVAR   11758    -0.021605    -0.026651     0.039789      0.70643
x55          COVAR   11758     0.037529     0.049255     0.029138     0.098891
x56          COVAR   11758     0.042214     0.050905      0.04924      0.19565
x57          COVAR   11758     -0.10046     -0.12495     0.048082      0.98165
x58          COVAR   11758     0.054772     0.070391     0.029269     0.030661
x59          COVAR   11758    -0.017033    -0.020761     0.048342      0.63771
x60          COVAR   11758    -0.079073     -0.09835     0.044486      0.96224
x61          COVAR   11758    -0.015856    -0.019471     0.038026      0.66165
x62          COVAR   11758    -0.097764     -0.12044     0.047366      0.98048
x63          COVAR   11758      -0.0232    -0.030852     0.029261      0.78607
x64          COVAR   11758    -0.045299    -0.058072     0.036522      0.89255
x65          COVAR   11758    -0.028278    -0.036806     0.032777      0.80585
x66          COVAR   11758    0.0079171    0.0097701     0.038473      0.41848
x67          COVAR   11758     0.031405     0.040244       0.0301       0.1484
x68          COVAR   11758    -0.040622    -0.052423     0.038933      0.85161
x69          COVAR   11758     0.086539       0.1135     0.031595    0.0030859
x70          COVAR   11758      0.12074      0.15092     0.031882   7.6642e-05
x71          COVAR   11758     -0.07229    -0.089891     0.045548      0.94374
x72          COVAR   11758    -0.069608    -0.086579      0.04546      0.93713
x73          COVAR   11758     0.052902     0.064065     0.047463      0.13252
x74          COVAR   11758    -0.024653    -0.031579     0.040644      0.72792
x75          COVAR   11758     -0.03693    -0.045875     0.043601       0.8015
x76          COVAR   11758    0.0057065    0.0076459     0.027293      0.41719
x77          COVAR   11758     -0.13478     -0.16983     0.045998       0.9983
x78          COVAR   11758    -0.017545    -0.021417     0.037736      0.67901
x79          COVAR   11758    -0.010433    -0.013459     0.036755      0.61173
x80          COVAR   11758    -0.027964    -0.034858     0.044175      0.73664
x81          COVAR   11758     0.028879     0.037994     0.031838       0.1822
x82          COVAR   11758     0.062947      0.07999     0.032054     0.024788
x83          COVAR   11758   -0.0029003   -0.0038524     0.028565      0.54044
x84          COVAR   11758     0.025463     0.033218     0.035098      0.23408
x85          COVAR   11758    -0.010713    -0.013214      0.04506      0.59396
x86          COVAR   11758    -0.014213     -0.01847     0.037198       0.6488
x87          COVAR   11758     0.023406     0.029842     0.039083      0.27463
x88          COVAR   11758    -0.010334    -0.012678     0.042148      0.59685
x89          COVAR   11758    -0.068365    -0.085397     0.040019      0.95619
x90          COVAR   11758   0.00051823   0.00066274      0.03759       0.4945
x91          COVAR   11758     0.048196     0.061559     0.032255     0.067577
x92          COVAR   11758    -0.061608    -0.079992     0.032959      0.96919
x93          COVAR   11758    -0.017373    -0.022688      0.03239      0.70414
x94          COVAR   11758    -0.077246    -0.095546     0.045256      0.95606
x95          COVAR   11758    -0.027375    -0.036634     0.030362      0.81637
x96          COVAR   11758    0.0046545    0.0056738      0.04346      0.45736
x97          COVAR   11758     0.010294     0.013654     0.026931      0.35115
x98          COVAR   11758    -0.043187    -0.054831      0.03582      0.88601
x99          COVAR   11758    -0.058534    -0.075265     0.033897      0.95789
x100         COVAR   11758    -0.044929    -0.057737     0.037415      0.88508
x101         COVAR   11758    -0.026756    -0.032891     0.042238      0.73678
x102         COVAR   11758      -0.0248    -0.031642     0.030804      0.78961
x103         COVAR   11758     0.022065     0.027966     0.032559      0.24899
x104         COVAR   11758   -0.0032682   -0.0044892     0.029783      0.54369
x105         COVAR   11758    0.0066561    0.0084991     0.037604      0.42975
x106         COVAR   11758     0.018992     0.024008      0.03864      0.31153
x107         COVAR   11758    -0.083517     -0.10966     0.036942       0.9881
x108         COVAR   11758     0.028856     0.038254     0.025422      0.12819
x109         COVAR   11758    -0.025766    -0.033929     0.029915      0.80546
x110         COVAR   11758      0.12925      0.16507      0.03371   6.3338e-05
x111         COVAR   11758    -0.041998    -0.052215     0.040928      0.84758
x112         COVAR   11758     0.017888     0.022061     0.043885      0.34178
x113         COVAR   11758     0.055014     0.070574     0.033048     0.048002
x114         COVAR   11758    -0.041865    -0.052007     0.043776      0.83054
x115         COVAR   11758    -0.081191     -0.10535     0.038595      0.98229
x116         COVAR   11758     0.060888     0.079507     0.034127     0.037212
